pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
50,c,2,2,10,2,,,,,28.587691999971867,,28.577738799969666,28.587691999971867,29.587692799977958,29.587692799977958,29.587692799977958,29.587692799977958,29.587692799977958,30.587585199973546,30.587585199973546,31.258700600010343,c,1,0.6580932000651956,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
-150,z,2,3,11,3,,,,,31.271017899969593,,31.26035590004176,31.271017899969593,32.271131800021976,32.271131800021976,32.271131800021976,32.271131800021976,32.271131800021976,33.27119759994093,33.27119759994093,33.992250700015575,z,1,0.7179583000252023,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
-50,x,3,0,12,0,,,,,34.0044743999606,,33.99329190002754,34.0044743999606,35.00523060001433,35.00523060001433,35.00523060001433,35.00523060001433,35.00523060001433,36.00462519994471,36.00462519994471,36.54309439996723,x,1,0.5325523000210524,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
150,v,3,1,13,1,,,,,36.5546654999489,,36.54466589994263,36.5546654999489,37.5544280000031,37.5544280000031,37.5544280000031,37.5544280000031,37.5544280000031,38.554718900006264,38.554718900006264,39.61098100000527,v,1,1.037085899966769,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
50,c,3,2,14,2,,,,,39.62118829996325,,39.61312740005087,39.62118829996325,40.62150659994222,40.62150659994222,40.62150659994222,40.62150659994222,40.62150659994222,41.62163309997413,41.62163309997413,42.25974180002231,c,1,0.6292764000827447,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
-150,z,3,3,15,3,,,,,42.27169470000081,,42.261166400043294,42.27169470000081,43.271476899972185,43.271476899972185,43.271476899972185,43.271476899972185,43.271476899972185,44.27155299996957,44.27155299996957,44.911084400024265,z,1,0.6271857999963686,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
-50,x,4,0,16,0,,,,,44.92146219999995,,44.913004299975,44.92146219999995,45.92169530002866,45.92169530002866,45.92169530002866,45.92169530002866,45.92169530002866,46.921875300002284,46.921875300002284,47.59411199996248,x,1,0.67066890001297,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
150,v,4,1,17,1,,,,,47.605010799947195,,47.595359200029634,47.605010799947195,48.604934399947524,48.604934399947524,48.604934399947524,48.604934399947524,48.604934399947524,49.60521539999172,49.60521539999172,50.328239999944344,v,1,0.7090517999604344,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
50,c,4,2,18,2,,,,,50.33829310000874,,50.3292180999415,50.33829310000874,51.338332399958745,51.338332399958745,51.338332399958745,51.338332399958745,51.338332399958745,52.338475800002925,52.338475800002925,52.92616170004476,c,1,0.5813456000760198,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
-150,z,4,3,19,3,,,,,52.9384053000249,,52.92751109995879,52.9384053000249,53.93852580001112,53.93852580001112,53.93852580001112,53.93852580001112,53.93852580001112,54.938411699957214,54.938411699957214,55.610147499945015,z,1,0.6626909000333399,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
-50,x,5,0,20,0,,,,,55.62169689999428,,55.61173190001864,55.62169689999428,56.6216957999859,56.6216957999859,56.6216957999859,56.6216957999859,56.6216957999859,57.62175519997254,57.62175519997254,58.07841219997499,x,1,0.45276049990206957,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
150,v,5,1,21,1,,,,,58.08843929995783,,58.080519899958745,58.08843929995783,59.08862079994287,59.08862079994287,59.08862079994287,59.08862079994287,59.08862079994287,60.0885553000262,60.0885553000262,60.80994099995587,v,1,0.7096144000533968,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
50,c,5,2,22,2,,,,,60.822324899956584,,60.811178499949165,60.822324899956584,61.82185239996761,61.82185239996761,61.82185239996761,61.82185239996761,61.82185239996761,62.821947999997064,62.821947999997064,63.19378039997537,c,1,0.35601290001068264,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
-150,z,5,3,23,3,,,,,63.20534260000568,,63.19512000004761,63.20534260000568,64.20548580004834,64.20548580004834,64.20548580004834,64.20548580004834,64.20548580004834,65.20580080000218,65.20580080000218,65.89280519995373,z,1,0.6817332999780774,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
